name,rating,price,link
(refurbished) lenovo thinkpad 8th gen intel core i5 thin & light hd laptop (16 gb ddr4 ram/512 gb ssd/14 (35.6 cm) hd/windows 11/ms office/wifi/bluetooth 4.1/webcam/intel graphics),3.4,19999,/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DMTPY8PJ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-1&xpid=33P0v7PZbFYE1
"hp laptop 255 g9 (2024), amd ryzen 5 5625u hexa core - (8gb/512gb ssd/amd radeon graphics) thin and light business laptop/15.6"" (39.62cm)/silver/1.47 kg",4.2,29799,/HP-Laptop-255-G9-Ryzen/dp/B0DH8831VF/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-2&xpid=33P0v7PZbFYE1
"hp laptop 255 g9 amd ryzen 3 3250u dual core - (8gb/512gb ssd/amd radeon graphics) thin and light business laptop/15.6"" (39.62cm)/black/1.47 kg",3.2,25000,/HP-Laptop-255-G9-Ryzen/dp/B0DJCWBY7G/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-3&xpid=33P0v7PZbFYE1
"lenovo v14 g3 intel core i5 12th gen 1235u /16gb/512gb ssd/intel uhd graphics/windows 11/ thin and light business laptop/14.0"" fhd display/iron grey/1.57 kg",3.6,36750,/Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-4&xpid=33P0v7PZbFYE1
dell latitude 3440 intel core i3 12th gen 1215u - (8gb/512 gb ssd/intel uhd graphics) thin and light business laptop/14 hd display/grey/1.5 kg,3.6,32110,/DELL-Latitude-3440-Intel-1215U/dp/B0B8XFRNT8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-5&xpid=33P0v7PZbFYE1
"lenovo ideapad slim 1 intel core celeron n4020 14"" hd thin and light laptop (8gb/512gb ssd/windows 11 home/office 21/1yr warranty/cloud grey/1.3kg), 82v6009lin",3.7,23990,/Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-6&xpid=33P0v7PZbFYE1
"lenovo v14 g4 (2024), amd ryzen 3 7320u quad core - (8gb/512gb ssd/amd radeon graphics 610m/windows 11) thin and light business laptop/14 fhd display/silver/1.47 kg/ms office 2021",4,25500,/Lenovo-V14-Ryzen-7320U-Quad/dp/B0DKG7KLMN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-7&xpid=33P0v7PZbFYE1
"lenovo v15 amd ryzen 7 7730u 15.6"" (39.62cm) fhd 250 nits antiglare thin and light laptop (16gb/512gb ssd/windows 11/iron grey/1.65 kg) grey",4.2,39899,/Lenovo-Ryzen-39-62cm-Antiglare-Laptop/dp/B0D39BVJ7Y/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-8&xpid=33P0v7PZbFYE1
"(refurbished) lenovo thinkpad laptop t480 intel core i7 8th generation - 8550u processor 16 gb ram & 512 gb ssd, 14 inches notebook computer",2.9,17819,/Refurbished-Lenovo-Thinkpad-Laptop-Generation/dp/B0CXXBW47R/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-9&xpid=33P0v7PZbFYE1
"hp 15, 13th gen intel core i5-1334u, 16gb ddr4, 512gb ssd, (win 11, office 21, silver, 1.59kg), anti-glare, 15.6-inch(39.6cm) fhd laptop, iris xe graphics, fhd camera, backlit kb, fd0316tu/fd0315tu",3.8,55990,/HP-i5-1334U-Anti-glare-15-6-inch-Graphics/dp/B0D4LWYWF9/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-10&xpid=33P0v7PZbFYE1
